Comment,Designator,Footprint
10k?,"R12,R1,R2,R3,R4,R5,R6,R7,R11,R13,R14,R15,R16",R_0805_2012Metric
10uF,"C1,C17",C_1206_3216Metric
100nF,"C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13",C_0805_2012Metric
15pF,"C14,C15",C_0805_2012Metric
10uF,C16,CP_Elec_4x5.4
1uF,C18,C_0805_2012Metric
LED_Dual_AACC,"D1,D2,D3",EVL 15-22 R6G6C
Conn_02x05_Odd_Even,"J1,J2",IDC-Header_2x05_P2.54mm_Vertical
ICSP,J3,PinSocket_1x05_P2.54mm_Vertical
Jumper_NC_Dual,JP1,PinSocket_1x03_P2.54mm_Vertical
100?,"R8,R9,R10,R17,R18,R19,R20",R_0805_2012Metric
100K?,R21,R_0805_2012Metric
390?,R22,R_0805_2012Metric
470?,"R23,R24,R25,R26,R27,R28",R_0805_2012Metric
240?,R29,R_0805_2012Metric
PIC24FJ128GB204,U1,TQFP-44_10x10mm_P0.8mm
LD1117-R,U2,SOT-223-3_TabPin2
8 MHz,Y1,smd_quarz
